bse_code,nse_symbol
542772,360ONE
523395,3MINDIA
500002,ABB
500410,ACC
544283,ACMESOLAR
532683,AIAENG
533758,APLAPOLLO
544022,ASKAUTOLTD
540611,AUBANK
543458,AWL
532395,AXISCADES
544176,AADHARHFC
524348,AARTIDRUGS
524208,AARTIIND
543748,AARTIPHARM
541988,AAVAS
500488,ABBOTINDIA
532762,ACE
543349,ACUTAAS
539254,ADANIENSOL
512599,ADANIENT
541450,ADANIGREEN
532921,ADANIPORTS
533096,ADANIPOWER
542066,ATGL
540691,ABCAPITAL
535755,ABFRL
544403,ABLBL
500040,ABREL
543374,ABSLAMC
544466,CPPLUS
540205,AVL
540025,ADVENZYMES
500003,AEGISLOG
544407,AEGISVOPAK
544634,AEQUS
543534,AETHER
544280,AFCONS
542752,AFFLE
532811,AHLUCONT
532331,AJANTPHARM
544222,AKUMS
533573,APLLTD
543322,ALIVUS
539523,ALKEM
506767,ALKYLAMINE
544203,ABDL
521070,ALOKINDS
500008,ARE&M
540902,AMBER
500425,AMBUJACEM
543415,ANANDRATHI
515055,ANANTRAJ
543235,ANGELONE
544449,ANTHEM
543275,ANURAS
532259,APARINDS
508869,APOLLOHOSP
540879,APOLLO
500877,APOLLOTYRE
543335,APTUS
543657,ACI
542484,ARVINDFASN
500101,ARVIND
515030,ASAHIINDIA
527001,ASHAPURMIN
500477,ASHOKLEY
533271,ASHOKA
500820,ASIANPAINT
540975,ASTERDM
532493,ASTRAMICRO
532830,ASTRAL
544397,ATHERENERG
544527,ATLANTAELE
500027,ATUL
532668,AURIONPRO
524804,AUROPHARMA
539177,AIIL
543896,AVALON
512573,AVANTIFEED
540376,DMART
539807,CCAVENUE
544181,AWFIS
532215,AXISBANK
544061,AZAD
500048,BEML
540073,BLS
532977,BAJAJ-AUTO
500031,BAJAJELEC
500034,BAJFINANCE
532978,BAJAJFINSV
500490,BAJAJHLDNG
544252,BAJAJHFL
530999,BALAMINES
502355,BALKRISIND
500038,BALRAMCHIN
531112,BALUFORGE
500039,BANCOINDIA
541153,BANDHANBNK
532134,BANKBARODA
532149,BANKINDIA
532525,MAHABANK
500043,BATAINDIA
506285,BAYERCROP
544405,BELRISE
509480,BERGEPAINT
541143,BDL
500049,BEL
500493,BHARATFORG
500103,BHEL
500547,BPCL
532454,BHARTIARTL
544162,BHARTIHEXA
543653,BIKAJI
544603,GROWW
532523,BIOCON
500335,BIRLACORPN
532400,BSOFT
500463,BBOX
544288,BLACKBUCK
526612,BLUEDART
544009,BLUEJET
500067,BLUESTARCO
544484,BLUESTONE
501425,BBTC
502219,BORORENEW
500530,BOSCHLTD
544226,FIRSTCRY
532929,BRIGADE
500825,BRITANNIA
543425,MAPMYINDIA
519600,CCL
500084,CESC
500093,CGPOWER
532756,CIEINDIA
543441,CMSINFO
544644,CORONA
500092,CRISIL
542867,CSBBANK
543523,CAMPUS
511196,CANFINHOME
532483,CANBK
544583,CANHLIFE
544580,CRAMC
544614,CAPILLARY
524742,CAPLIPOINT
531595,CGCL
513375,CARBORUNIV
543333,CARTRADE
500870,CASTROLIND
500878,CEATLTD
544012,CELLO
509496,CEMPRO
532885,CENTRALBK
532548,CENTURYPLY
532443,CERA
542399,CHALET
500085,CHAMBLFERT
500110,CHENNPETRO
531358,CHOICEIN
504973,CHOLAHLDNG
511243,CHOLAFIN
500087,CIPLA
532210,CUB
543318,CLEAN
533278,COALINDIA
540678,COCHINSHIP
532541,COFORGE
543064,COHANCE
500830,COLPAL
543232,CAMS
543960,CONCORDBIO
531344,CONCOR
506395,COROMANDEL
543276,CRAFTSMAN
541770,CREDITACC
544439,CRIZAC
539876,CROMPTON
500480,CUMMINSIND
530843,CUPID
532175,CYIENT
532772,DCBBANK
523367,DCMSHRIRAM
532868,DLF
544045,DOMS
500096,DABUR
542216,DALBHARAT
543428,DATAPATTNS
532528,DATAMATICS
500645,DEEPAKFERT
506401,DEEPAKNTR
543529,DELHIVERY
543330,DEVYANI
522163,DIACABS
540047,DBL
532488,DIVISLAB
540699,DIXON
544350,AGARWALEYE
539524,LALPATHLAB
500124,DRREDDY
505242,DYNAMATECH
500125,EIDPARRY
500840,EIHOTEL
500135,EPL
532922,EDELWEISS
505200,EICHERMOT
505700,ELECON
543626,EMIL
500128,ELECTCAST
522074,ELGIEQUIP
544421,ELLEN
531162,EMAMILTD
532832,EMBDL
544210,EMCURE
544608,EMMVEE
540153,ENDURANCE
532178,ENGINERSIN
544122,ENTERO
544290,EIEL
543243,EQUITASBNK
540596,ERIS
500495,ESCORTS
543320,ETERNAL
543532,ETHOSLTD
543482,EUREKAFORB
500086,EXIDEIND
543384,NYKAA
544027,FEDFINA
500469,FEDERALBNK
590024,FACT
532768,FIEMIND
500144,FINCABLES
500940,FINPIPE
532809,FSL
543663,FIVESTAR
500033,FORCEMOT
532843,FORTIS
544613,UTLSOLAR
532155,GAIL
522275,GVT&D
500171,GHCL
505255,GMMPFAUDLR
532754,GMRAIRPORT
543490,GMRP&UI
505714,GABRIEL
532726,GALLANTT
542011,GRSE
500655,GRWRHITECH
540755,GICRE
507815,GILLETTE
543245,GLAND
500660,GLAXO
532296,GLENMARK
543654,MEDANTA
544179,GODIGIT
532734,GPIL
500163,GODFRYPHLP
540743,GODREJAGRO
532424,GODREJCP
500164,GODREJIND
533150,GODREJPROP
532630,GOKEX
539725,GOKULAGRO
532482,GRANULES
509488,GRAPHITE
500300,GRASIM
533282,GRAVITA
500620,GESHIP
501455,GREAVESCOT
524226,GAEL
542812,FLUOROCHEM
532181,GMDCLTD
500670,GNFC
533248,GPPL
500690,GSFC
509631,HEG
541019,HGINFRA
517271,HBLENGINE
532281,HCLTECH
544429,HDBFS
541729,HDFCAMC
500180,HDFCBANK
540777,HDFCLIFE
500183,HFCL
543227,HAPPSTMNDS
517354,HAVELLS
539787,HCG
543242,HEMIPROP
519552,HERITGFOOD
500182,HEROMOTOCO
544362,HEXT
500184,HSCL
500440,HINDALCO
541154,HAL
500185,HCC
513599,HINDCOPPER
500104,HINDPETRO
500696,HINDUNILVR
500188,HINDZINC
543187,POWERINDIA
543259,HOMEFIRST
544014,HONASA
517174,HONAUT
540530,HUDCO
544274,HYUNDAI
532174,ICICIBANK
540716,ICICIGI
544658,ICICIAMC
540133,ICICIPRULI
500116,IDBI
539437,IDFCFIRSTB
505726,IFBIND
500106,IFCI
542773,IIFLCAPS
532636,IIFL
544046,INOXINDIA
532947,IRB
541956,IRCON
544325,ITCHOTELS
500875,ITC
523610,ITI
544172,INDGN
530005,INDIACEM
500201,INDIAGLYCO
544044,INDIASHLTR
542726,INDIAMART
532814,INDIANB
540750,IEX
500850,INDHOTEL
533047,IMFA
530965,IOC
532388,IOB
542830,IRCTC
543257,IRFC
544026,IREDA
543258,INDIGOPNTS
521016,ICIL
532514,IGL
534816,INDUSTOWER
532187,INDUSINDBK
532777,NAUKRI
500209,INFY
543667,INOXGREEN
539083,INOXWIND
538835,INTELLECT
539448,INDIGO
544311,IGIL
544309,IKS
500214,IONEXCHANG
524494,IPCALAB
506943,JBCHEPHARM
532644,JKCEMENT
532605,JBMA
500380,JKLAKSHMI
532162,JKPAPER
530007,JKTYRE
523405,JMFINANCIL
544480,JSWCEMENT
500710,JSWDULUX
533148,JSWENERGY
543994,JSWINFRA
500228,JSWSTEEL
532976,JAIBALAJI
544537,JAINREC
532627,JPPOWER
532209,J&KBANK
520051,JAMNAAUTO
544118,JSFB
522285,JAYNECOIND
544476,JSLL
500378,JINDALSAW
532508,JSL
532286,JINDALSTEL
543940,JIOFIN
533155,JUBLFOOD
543271,JUBLINGREA
530019,JUBLPHARMA
543980,JLHL
533272,JWL
535648,JUSTDIAL
532926,JYOTHYLAB
544081,JYOTICNC
532889,KPRMILL
517569,KEI
532942,KNRCON
542323,KPIGREEN
542651,KPITTECH
530813,KRBL
544263,KRN
500249,KSB
500233,KAJARIACER
522287,KPIL
543278,KALYANKJIL
500165,KANSAINER
532652,KTKBANK
590003,KARURVYSYA
532899,KSCL
543664,KAYNES
532714,KEC
543720,KFINTECH
500241,KIRLOSBROS
533293,KIRLOSENG
505283,KIRLPNU
521248,KITEX
500247,KOTAKBANK
543308,KIMS
533519,LTF
540115,LTTS
544576,LGEINDIA
500253,LICHSGFIN
532783,LTFOODS
540005,LTM
500510,LT
543398,LATENTVIEW
540222,LAURUSLABS
543277,LXCHEM
544192,IXIGO
544408,THELEELA
541233,LEMONTREE
544600,LENSKART
543526,LICI
523457,LINDEINDIA
539992,LLOYDSENGG
512463,LLOYDSENT
512455,LLOYDSME
543287,LODHA
532796,LUMAXTECH
500257,LUPIN
513377,MMTC
533286,MOIL
500290,MRF
542597,MSTCLTD
543270,MTARTECH
539957,MGL
500266,MAHSCOOTER
500265,MAHSEAMLES
532720,M&MFIN
500520,M&M
531213,MANAPPURAM
500109,MRPL
543904,MANKIND
541974,MANORAMA
531642,MARICO
524404,MARKSANS
532500,MARUTI
523704,MASTEK
500271,MFSL
543220,MAXHEALTH
543237,MAZDOCK
543427,MEDPLUS
544632,MEESHO
542650,METROPOLIS
538962,MINDACORP
541195,MIDHANI
543498,MSUMI
532892,MOTILALOFS
526299,MPHASIS
543253,BECTORFOOD
534091,MCX
533398,MUTHOOTFIN
524816,NATCOPHARM
534309,NBCC
500294,NCC
542665,NEOGEN
505355,NESCO
533098,NHPC
513683,NLCINDIA
526371,NMDC
543768,NSLNISP
544289,NTPCGREEN
532555,NTPC
539551,NH
532234,NATIONALUM
523630,NFL
513023,NAVA
532504,NAVINFLUOR
543280,NAZARA
500790,NESTLEIND
543945,NETWEB
532798,NETWORK18
524558,NEULANDLAB
540900,NEWGEN
540767,NAM-INDIA
544286,NIVABUPA
543988,NUVAMA
543334,NUVOCO
533273,OBEROIRLTY
500312,ONGC
533106,OIL
544225,OLAELEC
532439,OLECTRA
543396,PAYTM
544292,ONESOURCE
530135,OPTIEMUS
532466,OFSS
535754,ORIENTCEM
544595,ORKLAINDIA
544418,OSWALPUMPS
544256,PNGJL
543390,POLICYBZR
534809,PCJEWELLER
506590,PCBL
533581,PGEL
523642,PIIND
540173,PNBHOUSING
539150,PNCINFRA
532524,PTC
539006,PTCIL
532689,PVRINOX
532827,PAGEIND
543530,PARADEEP
543367,PARAS
544645,PARKHOSPS
500368,PATANJALI
532808,PGIL
533179,PERSISTENT
532522,PETRONET
500680,PFIZER
503100,PHOENIXLTD
544609,PWL
530305,PICCADIL
500331,PIDILITIND
544606,PINELABS
544597,PIRAMALFIN
543635,PPLPHARMA
531768,POLYMED
542652,POLYCAB
524000,POONAWALLA
532810,PFC
532898,POWERGRID
539302,POWERMECH
522205,PRAJIND
544238,PREMIERENE
533274,PRESTIGE
540293,PRICOLLTD
532748,PFOCUS
500338,PRSMJOHNSN
530117,PRIVISCL
543527,PRUDENT
532461,PNB
532891,PURVA
544367,QPOWER
539978,QUESS
543981,RRKABEL
540065,RBLBANK
532955,RECLTD
534076,RHIM
541556,RITES
532497,RADICO
542649,RVNL
543265,RAILTEL
500339,RAIN
543524,RAINBOW
500355,RALLIS
532527,RKFORGE
524230,RCF
543417,RATEGAIN
520111,RATNAMANI
534597,RTNINDIA
533122,RTNPOWER
544240,RAYMONDLSL
532805,REDINGTON
543957,REDTAPE
532884,REFEX
530517,RELAXO
500325,RELIANCE
532939,RPOWER
532915,RELIGARE
543248,RBA
543228,ROUTE
544578,RUBICON
543959,SBFC
543066,SBICARD
540719,SBILIFE
533206,SJVN
544572,SKFINDUS
500472,SKFINDIA
541967,SKYGOLD
505192,SMLMAH
503806,SRF
544526,SAATVIKGL
523025,SAFARI
544282,SAGILITY
544306,SAILIFE
543984,SAMHI
535789,SAMMAANCAP
517334,MOTHERSON
504918,SANDUMA
544250,SANOFICONR
543358,SANSERA
543397,SAPPHIRE
504614,SARDAEN
532163,SAREGAMA
505790,SCHAEFFLER
534139,SCHNEIDER
543936,SENCO
544533,STYL
501423,SHAILY
531431,SHAKTIPUMP
538666,SHARDACROP
540725,SHAREINDIA
540203,SFL
530549,SHILPAMED
523598,SCI
500387,SHREECEM
532670,RENUKA
511218,SHRIRAMFIN
544344,SHRIPISTON
543299,SHYAMMETL
544390,ENRIN
500550,SIEMENS
543990,SIGNATURE
538562,SKIPPER
544447,SMARTWORKS
532784,SOBHA
532725,SOLARINDS
543300,SONACOMS
532221,SONATSOFTW
532218,SOUTHBANK
544469,LOTUSDEV
540575,STARCEMENT
543412,STARHEALTH
500112,SBIN
500113,SAIL
542760,SWSOLAR
532374,STLTECH
532531,STAR
506222,STYRENIX
517168,SUBROS
506655,SUDARSCHEM
544619,SUDEEPPHRM
542920,SUMICHEM
532872,SPARC
524715,SUNPHARMA
532733,SUNTV
590071,SUNDARMFIN
512179,SUNTECK
509930,SUPREMEIND
500405,SPLPETRO
543434,SUPRIYA
500336,SURYAROSNI
532667,SUZLON
503310,SWANCORP
544285,SWIGGY
539268,SYNGENE
543573,SYRMA
543249,TARC
